City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,bilibino,68.0546,166.4372,11.68,74,10,2.01,RU,1712800618
83,thompson,55.7435,-97.8558,46.56,53,100,5.75,CA,1712800618
84,la gi,10.6667,107.7833,87.73,59,23,22.21,VN,1712800619
85,badger,64.8,-147.5333,48.45,38,20,4.61,US,1712800619
86,yellowknife,62.456,-114.3525,32.41,88,20,11.5,CA,1712800619
87,lushun,38.8,121.2667,62.82,81,0,5.26,CN,1712800620
88,sogndal,61.2283,7.1003,41.38,80,100,6.91,NO,1712800620
89,ola,59.5833,151.2833,27.14,61,52,2.24,RU,1712800621
90,bredasdorp,-34.5322,20.0403,58.53,67,23,12.84,ZA,1712800621
91,afaahiti,-17.75,-149.2833,85.87,83,100,17.87,PF,1712800621
92,puerto ayacucho,5.6639,-67.6236,88.0,49,66,4.32,VE,1712800622
93,san antonio de pale,-1.4014,5.6325,82.69,81,100,8.61,GQ,1712800622
94,novoagansk,61.9449,76.6625,-4.27,94,41,4.61,RU,1712800622
95,montevideo,-34.8335,-56.1674,59.02,55,75,17.27,UY,1712800420
96,caleta de carquin,-11.0925,-77.6267,71.64,84,98,8.19,PE,1712800623
97,fort st. john,56.2499,-120.8529,44.49,36,75,14.97,CA,1712800579
98,khandyga,62.6667,135.6,29.5,85,80,5.32,RU,1712800624
99,thurgoona,-36.0451,146.9919,68.65,100,0,1.99,AU,1712800624
100,merritt,50.1123,-120.7942,46.8,57,100,4.25,CA,1712800624
101,al wafrah,28.6392,47.9306,72.19,36,51,9.19,KW,1712800624
102,margate,51.3813,1.3862,54.88,92,100,5.01,GB,1712800337
103,port elizabeth,-33.918,25.5701,58.32,88,0,5.75,ZA,1712800625
104,minas de marcona,-15.2119,-75.1103,63.19,83,100,12.06,PE,1712800625
105,napili-honokowai,20.9708,-156.6705,85.35,70,36,17.05,US,1712800626
106,cabo san lucas,22.8909,-109.9124,73.71,42,20,10.0,MX,1712800535
107,keflavik,64.0049,-22.5624,39.11,87,75,18.41,IS,1712800626
108,prudnik,50.3212,17.5746,49.78,89,100,3.87,PL,1712800626
109,i-n-salah,27.1935,2.4607,73.18,32,0,20.6,DZ,1712800627
110,saldanha,-33.0117,17.9442,59.05,75,0,15.03,ZA,1712800627
111,upata,8.0086,-62.3989,79.2,69,22,7.85,VE,1712800627
112,ust-nera,64.5667,143.2,20.46,84,100,8.99,RU,1712800627
113,vila velha,-20.3297,-40.2925,76.95,96,40,4.61,BR,1712800628
114,nieuw amsterdam,5.8833,-55.0833,78.96,88,100,11.56,SR,1712800628
115,petoskey,45.3733,-84.9553,51.73,78,0,0.0,US,1712800629
116,port lincoln,-34.7333,135.8667,61.75,64,98,8.34,AU,1712800629
117,palangkaraya,-2.2,113.8333,86.88,62,49,3.33,ID,1712800456
118,klyuchi,52.2667,79.1667,36.73,98,100,4.41,RU,1712800630
119,weno,7.4515,151.8468,80.55,100,100,11.5,FM,1712800630
120,guadalajara,20.6667,-103.3333,70.12,19,3,5.3,MX,1712800621
121,vorgashor,67.5833,63.95,-11.88,100,100,4.74,RU,1712800630
122,praia da vitoria,38.7333,-27.0667,64.65,88,75,14.7,PT,1712800631
123,mount gambier,-37.8333,140.7667,58.8,59,100,6.64,AU,1712800631
124,susuman,62.7833,148.1667,9.99,77,71,3.0,RU,1712800631
125,la'ie,21.6477,-157.9253,83.05,77,60,8.01,US,1712800632
126,keren,15.7778,38.4581,69.73,71,13,5.08,ER,1712800632
127,mumford,5.2618,-0.759,80.69,83,100,7.52,GH,1712800632
128,port mathurin,-19.6833,63.4167,80.1,78,31,10.89,MU,1712800633
129,whitehorse,60.7161,-135.0538,45.37,33,40,6.91,CA,1712800633
130,port alfred,-33.5906,26.891,60.89,69,51,13.38,ZA,1712800633
131,petropavlovsk-kamchatsky,53.0452,158.6483,37.99,70,20,35.99,RU,1712800633
132,tbeng meanchey,13.8167,104.9667,92.59,31,12,7.23,KH,1712800634
133,mugia,43.1041,-9.2179,55.71,77,100,11.27,ES,1712800634
134,horta,38.5333,-28.6333,63.01,96,75,31.0,PT,1712800634
135,nemuro,43.3236,145.575,41.76,65,3,12.3,JP,1712800635
136,papatowai,-46.5619,169.4708,48.79,97,100,15.21,NZ,1712800635
137,maneromango,-7.1988,38.7848,71.87,90,100,2.06,TZ,1712800635
138,hamilton,39.1834,-84.5333,62.55,96,100,10.36,US,1712800538
139,toamasina,-18.1667,49.3833,78.17,89,52,9.82,MG,1712800636
140,cole harbour,44.6724,-63.4751,36.88,80,98,1.01,CA,1712800636
141,san patricio,28.017,-97.5169,74.84,42,0,19.3,US,1712800637
142,hermanus,-34.4187,19.2345,57.79,72,3,18.28,ZA,1712800637
143,san luis de la loma,17.2706,-100.8939,76.23,83,51,6.93,MX,1712800638
144,valparaiso,-33.0393,-71.6273,62.01,62,100,4.61,CL,1712800481
145,luderitz,-26.6481,15.1594,69.08,51,0,9.37,NA,1712800638
146,wynyard,-41.0,145.7167,58.91,59,22,6.4,AU,1712800639
147,el triunfo,-1.9333,-79.9667,87.84,82,96,4.43,EC,1712800639
148,tazovsky,67.4667,78.7,-18.35,99,69,5.01,RU,1712800639
149,new norfolk,-42.7826,147.0587,60.71,43,51,2.57,AU,1712800639
150,tuxpan,19.55,-103.4,71.37,61,0,4.14,MX,1712800640
151,piacabucu,-10.4056,-36.4344,80.11,82,15,5.39,BR,1712800640
152,gafargaon,24.4333,90.5667,82.92,40,67,6.29,BD,1712800640
153,kruisfontein,-34.0033,24.7314,52.88,76,70,5.03,ZA,1712800641
154,west island,-12.1568,96.8225,82.38,69,40,11.5,CC,1712800641
155,mossel bay,-34.1831,22.146,55.33,74,68,10.85,ZA,1712800641
156,douglas,41.3,-96.167,66.02,38,0,12.66,US,1712800375
157,rechka-vydrino,51.485,104.8461,39.92,90,100,3.65,RU,1712800642
158,wuchuan,21.4571,110.7659,77.83,80,100,14.23,CN,1712800642
159,nikolayevsk-on-amure,53.1406,140.73,46.22,55,2,5.01,RU,1712800643
160,alesund,62.4723,6.1549,45.52,75,75,9.22,NO,1712800643
161,juneau,58.3019,-134.4197,42.8,90,100,10.36,US,1712800643
162,selfoss,63.9331,-20.9971,37.04,88,100,19.44,IS,1712800643
163,hadibu,12.65,54.0333,79.72,79,0,6.58,YE,1712800644
164,jackson,42.4165,-122.8345,75.07,30,0,4.61,US,1712800428
165,laboulaye,-34.1266,-63.3912,51.71,76,100,6.02,AR,1712800644
166,talnakh,69.4865,88.3972,-15.68,99,91,3.89,RU,1712800645
167,hawaiian paradise park,19.5933,-154.9731,78.31,81,40,9.22,US,1712800645
168,peterhead,57.5058,-1.7981,55.8,79,75,22.7,GB,1712800645
169,nema,57.5067,50.5011,29.62,96,59,4.88,RU,1712800646
170,ixtapa,20.7,-105.2,72.23,81,10,4.0,MX,1712800646
171,mikuni,36.2171,136.1519,60.71,63,100,8.95,JP,1712800647
172,bereznik,62.8551,42.7072,42.89,97,100,10.85,RU,1712800647
173,malpica,43.3228,-8.8105,51.33,76,99,3.33,ES,1712800647
174,harper,4.375,-7.7169,81.27,81,100,4.05,LR,1712800648
175,singrauli,24.1997,82.6753,78.8,38,100,4.63,IN,1712800648
176,kill devil hills,36.0307,-75.676,66.22,74,40,11.5,US,1712800648
177,sainte-rose,16.3324,-61.6979,80.19,88,48,6.91,GP,1712800649
178,saint-pierre,-21.3393,55.4781,74.88,69,0,8.05,RE,1712800406
179,iskateley,67.6803,53.1512,16.02,93,100,15.99,RU,1712800649
180,vernon,50.2581,-119.2691,59.36,37,99,2.3,CA,1712800515
181,mazagao,-0.115,-51.2894,82.45,96,73,3.06,BR,1712800650
182,kirkwall,58.9848,-2.9587,50.05,93,100,25.32,GB,1712800396
183,dunedin,-45.8742,170.5036,53.8,97,100,8.99,NZ,1712800388
184,bubaque,11.2833,-15.8333,74.95,74,1,15.77,GW,1712800651
185,lishu,43.3047,124.3278,60.78,45,20,19.6,CN,1712800651
186,bardai,11.65,7.2333,80.17,23,22,8.5,NG,1712800651
187,monrovia,6.3005,-10.7969,80.29,87,100,1.7,LR,1712800651
188,pizarro,4.9533,-77.366,79.36,89,96,3.56,CO,1712800652
189,jumla,29.2747,82.1838,50.59,31,2,1.77,NP,1712800652
190,chernomorskoye,45.5039,32.6997,53.17,69,6,8.95,UA,1712800652
191,alofi,-19.0595,-169.9187,85.89,70,75,13.8,NU,1712800653
192,tabas,33.5959,56.9244,71.82,21,45,4.61,IR,1712800653
193,yuzhno-kurilsk,44.0306,145.8556,40.37,76,100,8.95,RU,1712800653
194,uturoa,-16.7333,-151.4333,84.7,76,30,18.23,PF,1712800653
195,vilyuysk,63.7553,121.6247,28.99,93,100,7.0,RU,1712800654
196,haimen,23.1935,116.6142,73.29,77,98,9.51,CN,1712800654
197,aswan,24.0934,32.907,67.3,27,0,0.0,EG,1712800654
198,madalena,41.2162,-8.3345,55.29,84,100,3.91,PT,1712800655
199,kon tum,14.35,108.0,87.58,34,0,4.59,VN,1712800655
200,puerto san jose,13.9256,-90.8244,83.77,72,34,2.35,GT,1712800655
201,flying fish cove,-10.4217,105.6791,82.08,78,40,9.22,CX,1712800655
202,holmsund,63.706,20.3641,42.75,60,99,14.0,SE,1712800656
203,gaigeturi,33.4644,126.3183,60.85,82,100,5.75,KR,1712800656
204,palu,-0.8917,119.8707,87.03,71,79,3.47,ID,1712800656
205,roma,43.2128,-75.4557,57.87,96,100,3.44,US,1712800657
206,plymouth,41.8334,-70.8328,53.62,85,100,8.05,US,1712800553
207,pokachi,61.7198,75.3683,-2.29,95,41,4.94,RU,1712800657
208,tomatlan,19.9333,-105.25,66.85,82,0,2.89,MX,1712800657
209,raja,8.4596,25.678,77.47,20,72,1.3,SS,1712800658
210,alaghsas,17.0187,8.0168,81.9,14,8,7.11,NE,1712800658
211,kingston,17.997,-76.7936,83.35,70,20,18.41,JM,1712800534
212,waihee-waiehu,20.9249,-156.5076,85.5,60,20,15.01,US,1712800659
213,linjiang,41.8069,126.9078,45.64,79,100,5.79,CN,1712800659
214,kone,-21.0595,164.8658,75.43,97,100,4.34,NC,1712800659
215,kosh-agach,50.0,88.6667,29.3,91,100,1.99,RU,1712800660
216,saint-francois,46.4154,3.9054,36.41,99,0,0.0,FR,1712800657
217,rongelap,11.1635,166.8941,80.1,76,100,23.09,MH,1712800660
218,le vauclin,14.5452,-60.8388,80.65,78,20,8.05,MQ,1712800440
219,codrington,-38.2667,141.9667,59.07,63,100,10.25,AU,1712800661
